GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Micronaut Maven Plugin - Plugin,io.micronaut.maven.openapi,ParameterMapping.ParameterLocation,33,0,0,0,6,0,1,0,1,0
Micronaut Maven Plugin - Plugin,io.micronaut.maven.openapi,OpenApiGenericMojo,230,0,28,0,48,0,21,0,7,0
Micronaut Maven Plugin - Plugin,io.micronaut.maven.openapi,ResponseBodyMapping,31,0,0,0,13,0,9,0,9,0
Micronaut Maven Plugin - Plugin,io.micronaut.maven.openapi,ParameterMapping,38,0,0,0,16,0,11,0,11,0
Micronaut Maven Plugin - Plugin,io.micronaut.maven.openapi,OpenApiGenericMojo.OpenAPIInvocationException,8,0,0,0,4,0,2,0,2,0
Micronaut Maven Plugin - Plugin,io.micronaut.maven.openapi,OpenApiClientMojo,83,0,12,0,22,0,11,0,5,0
Micronaut Maven Plugin - Plugin,io.micronaut.maven.openapi,OpenApiServerMojo,46,10,2,0,13,4,3,3,2,3
Micronaut Maven Plugin - Plugin,io.micronaut.maven.openapi,AbstractOpenApiMojo,264,54,12,2,75,15,11,3,4,3
Micronaut Maven Plugin - Plugin,io.micronaut.maven.testresources,StartTestResourcesServerMojo,20,101,2,4,6,19,2,5,0,4
Micronaut Maven Plugin - Plugin,io.micronaut.maven.testresources,TestResourcesConfiguration,21,7,0,0,9,3,6,2,6,2
Micronaut Maven Plugin - Plugin,io.micronaut.maven.testresources,TestResourcesHelper.SharedServerLock,0,18,0,0,0,7,0,2,0,2
Micronaut Maven Plugin - Plugin,io.micronaut.maven.testresources,TestResourcesHelper,469,1023,84,98,128,234,76,76,14,47
Micronaut Maven Plugin - Plugin,io.micronaut.maven.testresources,AbstractTestResourcesMojo,18,26,0,2,6,10,4,3,4,2
Micronaut Maven Plugin - Plugin,io.micronaut.maven.testresources,TestResourcesLifecycleExtension,425,0,44,0,109,0,43,0,21,0
Micronaut Maven Plugin - Plugin,io.micronaut.maven.testresources,StopTestResourcesServerMojo,58,0,0,0,10,0,2,0,2,0
Micronaut Maven Plugin - Plugin,io.micronaut.maven.testresources,TestResourcesHelper.SharedServerState,0,11,0,0,0,4,0,1,0,1
Micronaut Maven Plugin - Plugin,io.micronaut.maven.testresources,DefaultServerFactory,58,238,10,18,14,60,10,15,1,10
Micronaut Maven Plugin - Plugin,io.micronaut.maven.testresources,TestResourcesHelper.SessionState,0,24,0,0,0,5,0,1,0,1
Micronaut Maven Plugin - Plugin,io.micronaut.maven.services,DockerService.new BuildImageResultCallback() {...},35,0,6,0,8,0,5,0,2,0
Micronaut Maven Plugin - Plugin,io.micronaut.maven.services,DockerService,485,4,22,0,123,1,28,1,17,1
Micronaut Maven Plugin - Plugin,io.micronaut.maven.jsonschema,AbstractConfigurationValidationMojo,819,73,154,4,173,17,102,8,25,6
Micronaut Maven Plugin - Plugin,io.micronaut.maven.jsonschema,ConfigurationValidationCache,140,248,17,25,41,64,17,18,4,10
Micronaut Maven Plugin - Plugin,io.micronaut.maven.jsonschema,ConfigurationValidationFormat,54,0,8,0,12,0,7,0,2,0
Micronaut Maven Plugin - Plugin,io.micronaut.maven.jsonschema,ValidateTestConfigurationMojo,33,0,0,0,8,0,7,0,7,0
Micronaut Maven Plugin - Plugin,io.micronaut.maven.jsonschema,ConfigurationValidationClasspath,85,72,15,7,20,15,14,3,3,3
Micronaut Maven Plugin - Plugin,io.micronaut.maven.jsonschema,ValidateConfigurationMojo,36,0,0,0,8,0,7,0,7,0
Micronaut Maven Plugin - Plugin,io.micronaut.maven.jsonschema,ConfigurationValidationExecutor.ValidationResult,15,0,0,0,1,0,1,0,1,0
Micronaut Maven Plugin - Plugin,io.micronaut.maven.jsonschema,JsonSchemaGeneratorMojo,222,0,14,0,44,0,11,0,4,0
Micronaut Maven Plugin - Plugin,io.micronaut.maven.jsonschema,ConfigurationValidationCache.Glob,25,139,10,22,5,30,9,11,0,4
Micronaut Maven Plugin - Plugin,io.micronaut.maven.jsonschema,ConfigurationValidationCache.CacheEntry,0,6,0,0,0,1,0,1,0,1
Micronaut Maven Plugin - Plugin,io.micronaut.maven.jsonschema,ConfigurationValidationConfiguration.ValidationSet,52,0,0,0,22,0,15,0,15,0
Micronaut Maven Plugin - Plugin,io.micronaut.maven.jsonschema,ConfigurationValidationCache.LastResult,0,15,0,0,0,3,0,1,0,1
Micronaut Maven Plugin - Plugin,io.micronaut.maven.jsonschema,ConfigurationValidationConfiguration,84,10,0,0,36,4,24,3,24,3
Micronaut Maven Plugin - Plugin,io.micronaut.maven.jsonschema,ConfigurationValidationExecutor,140,199,24,30,29,41,18,19,2,8
Micronaut Maven Plugin - Plugin,io.micronaut.maven.jsonschema,ValidateDevConfigurationMojo,37,0,0,0,8,0,7,0,7,0
Micronaut Maven Plugin - Plugin,io.micronaut.maven,DockerPushMojo,112,65,13,7,26,15,11,5,2,4
Micronaut Maven Plugin - Plugin,io.micronaut.maven,ImportFactoryMojo,390,0,24,0,81,0,24,0,12,0
Micronaut Maven Plugin - Plugin,io.micronaut.maven,NativeImageAgentSupport,4,402,8,50,1,74,8,40,0,19
Micronaut Maven Plugin - Plugin,io.micronaut.maven,RunMojo,712,626,97,65,176,125,82,44,21,24
Micronaut Maven Plugin - Plugin,io.micronaut.maven,AbstractMicronautMojo,7,3,0,0,2,1,1,1,1,1
Micronaut Maven Plugin - Plugin,io.micronaut.maven,DockerMojo,123,56,8,4,28,12,7,3,2,2
Micronaut Maven Plugin - Plugin,io.micronaut.maven,DockerNativeMojo,283,294,23,13,67,57,21,13,7,8
Micronaut Maven Plugin - Plugin,io.micronaut.maven,DockerCracMojo,504,0,22,0,102,0,22,0,10,0
Micronaut Maven Plugin - Plugin,io.micronaut.maven,AbstractDockerMojo,268,995,48,80,49,201,39,85,2,55
Micronaut Maven Plugin - Plugin,io.micronaut.maven,Packaging,0,70,0,0,0,13,0,4,0,4
Micronaut Maven Plugin - Plugin,io.micronaut.maven,HelpMojo,773,0,112,0,156,0,72,0,16,0
Micronaut Maven Plugin - Plugin,io.micronaut.maven,GraalVMResourcesMojo,276,0,22,0,57,0,19,0,8,0
Micronaut Maven Plugin - Plugin,io.micronaut.maven,NativeImageJibMojo,124,782,26,73,29,179,28,66,4,39
Micronaut Maven Plugin - Plugin,io.micronaut.maven,DockerfileMojo,324,329,39,49,78,75,39,28,9,10
Micronaut Maven Plugin - Plugin,io.micronaut.maven.aot,AotSampleMojo,9,0,0,0,2,0,1,0,1,0
Micronaut Maven Plugin - Plugin,io.micronaut.maven.aot,AotAnalysisMojo,0,9,0,0,0,2,0,1,0,1
